"Company Name",FY,Quarter,"By Each Company Unit Role","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"AE Laboratory Services",$69035.00,$49345.00,$19690.00,Profit
"Austin Energy",2026,2,"Current Diversion",$0.00,$10940.00,$-10940.00,Defict
"Austin Energy",2026,2,"Decker Maintenance",$1035000.00,$320862.00,$714138.00,Profit
"Austin Energy",2026,2,"Dist Design North",$0.00,$14996.00,$-14996.00,Defict
"Austin Energy",2026,2,"Dist Design Small Scale & Streetlight",$0.00,$1422.00,$-1422.00,Defict
"Austin Energy",2026,2,"Dist Design South",$0.00,$10.00,$-10.00,Defict
"Austin Energy",2026,2,"Distribution Reliability",$0.00,$10327.00,$-10327.00,Defict
"Austin Energy",2026,2,"Electrical Maintenance",$0.00,$380.00,$-380.00,Defict
"Austin Energy",2026,2,"Energy Market Analysis",$2426964.00,$661024.00,$1765940.00,Profit
"Austin Energy",2026,2,"Energy Market Systems",$637714.00,$300400.00,$337314.00,Profit
"Austin Energy",2026,2,"Energy Products",$1535.00,$5195.00,$-3660.00,Defict
"Austin Energy",2026,2,"Energy Supply & Risk Management",$-74595.00,$26575.00,$-101170.00,Defict
"Austin Energy",2026,2,"Environmental Management",$-55679.00,$65445.00,$-121124.00,Defict
"Austin Energy",2026,2,"Environmental Projects",$249400.00,$104157.00,$145243.00,Profit
"Austin Energy",2026,2,"Generation Management Systems",$404309.00,$42404.00,$361905.00,Profit
"Austin Energy",2026,2,"IT Apps, Data & Web",$0.00,$3175.00,$-3175.00,Defict
"Austin Energy",2026,2,"IT Business & Quality Management",$0.00,$11473.00,$-11473.00,Defict
"Austin Energy",2026,2,"Planning & Project Development",$0.00,$22365.00,$-22365.00,Defict
"Austin Energy",2026,2,"Reliability Compliance Program",$-5579.00,$60462.00,$-66041.00,Defict
"Austin Energy",2026,2,"System Restoration and Trouble",$31200.00,$2974.00,$28226.00,Profit
"Austin Energy",2026,2,"Wildfire Division",$0.00,$16359.00,$-16359.00,Defict
"Austin Energy",2026,2,"A-Environmental Field Service",$0.00,$17037.00,$-17037.00,Defict
