"Company Name",FY,Quarter,"By Each Company Unit Role","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"Admin For District Energy",$268712.00,$242973.00,$25739.00,Profit
"Austin Energy",2026,2,"Administration - Decker",$193254.00,$59413.00,$133841.00,Profit
"Austin Energy",2026,2,"Administration - Generation",$121158.00,$6435.00,$114723.00,Profit
"Austin Energy",2026,2,"Advanced Grid Technologies",$15920258.00,$3828154.00,$12092104.00,Profit
"Austin Energy",2026,2,"AE Laboratory Services",$-43562.00,$9156.00,$-52718.00,Deficit
"Austin Energy",2026,2,"Craft & Field Training",$484509.00,$72509.00,$412000.00,Profit
"Austin Energy",2026,2,"Current Diversion",$10940.00,$10940.00,$0.00,Deficit
"Austin Energy",2026,2,"Decker Maintenance",$1355862.00,$320862.00,$1035000.00,Profit
"Austin Energy",2026,2,"Disaster Restoration",$112394.00,$110394.00,$2000.00,Profit
"Austin Energy",2026,2,"Dist Design North",$14996.00,$14996.00,$0.00,Deficit
"Austin Energy",2026,2,"Dist Design Small Scale & Streetlight",$1422.00,$1422.00,$0.00,Deficit
"Austin Energy",2026,2,"Dist Design South",$10.00,$10.00,$0.00,Deficit
"Austin Energy",2026,2,"Distribution Construction & Maintenance-North",$633367.00,$267506.00,$365861.00,Profit
"Austin Energy",2026,2,"Distribution Reliability",$15748.00,$15748.00,$0.00,Deficit
"Austin Energy",2026,2,"Electrical Maintenance",$380.00,$380.00,$0.00,Deficit
"Austin Energy",2026,2,"Energy Market Analysis",$3087988.00,$661024.00,$2426964.00,Profit
"Austin Energy",2026,2,"Energy Market Systems",$938114.00,$300400.00,$637714.00,Profit
"Austin Energy",2026,2,"Energy Products",$6730.00,$5195.00,$1535.00,Profit
"Austin Energy",2026,2,"Energy Supply & Risk Management",$-48020.00,$26575.00,$-74595.00,Deficit
"Austin Energy",2026,2,"Environmental Field Service",$70283.00,$46153.00,$24130.00,Profit
"Austin Energy",2026,2,"Environmental Management",$9766.00,$65445.00,$-55679.00,Deficit
"Austin Energy",2026,2,"Environmental Projects",$353557.00,$104157.00,$249400.00,Profit
"Austin Energy",2026,2,"Facility Management",$635992.00,$35992.00,$600000.00,Profit
"Austin Energy",2026,2,"Generation Engineering",$327190.00,$142998.00,$184192.00,Profit
"Austin Energy",2026,2,"Generation Management Systems",$446713.00,$42404.00,$404309.00,Profit
"Austin Energy",2026,2,"Generation Plant Support",$0.00,$0.00,$0.00,Deficit
"Austin Energy",2026,2,"Green Building-Evaluation & Development",$399760.00,$79760.00,$320000.00,Profit
"Austin Energy",2026,2,Illumination,$4634300.00,$1893167.00,$2741133.00,Profit
"Austin Energy",2026,2,"IT Apps, Data & Web",$3175.00,$3175.00,$0.00,Deficit
"Austin Energy",2026,2,"IT Business & Quality Management",$11473.00,$11473.00,$0.00,Deficit
"Austin Energy",2026,2,"Jobbing & Contracts Projects",$33388.00,$33388.00,$0.00,Deficit
"Austin Energy",2026,2,"Network Construction & Maint.",$934979.00,$434979.00,$500000.00,Profit
"Austin Energy",2026,2,"Occupational Health and Safety Services",$5233.00,$4633.00,$600.00,Profit
"Austin Energy",2026,2,"Planning & Project Development",$22365.00,$22365.00,$0.00,Deficit
"Austin Energy",2026,2,"Reliability Compliance Program",$56818.00,$62397.00,$-5579.00,Deficit
"Austin Energy",2026,2,"Sand Hill - Administration",$30368.00,$41887.00,$-11519.00,Deficit
"Austin Energy",2026,2,"Sand Hill - Engineering and Environmental",$547395.00,$159437.00,$387958.00,Profit
"Austin Energy",2026,2,"Sand Hill - Maintenance",$10236248.00,$3821923.00,$6414325.00,Profit
"Austin Energy",2026,2,"Sand Hill - Operations",$246672.00,$92510.00,$154162.00,Profit
"Austin Energy",2026,2,"Sand Hill - Warehouse",$8788.00,$7902.00,$886.00,Profit
"Austin Energy",2026,2,"Smart Grid Operations",$78956.00,$20956.00,$58000.00,Profit
"Austin Energy",2026,2,"Strategic Planning and Technology",$529215.00,$167865.00,$361350.00,Profit
"Austin Energy",2026,2,"System Restoration and Trouble",$242869.00,$106669.00,$136200.00,Profit
"Austin Energy",2026,2,"Wildfire Division",$2189476.00,$640359.00,$1549117.00,Profit
