"Company Name",FY,Quarter,"By Each Company Unit Role","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"Administrative leave",$0.00,$9428.00,$-9428.00,Deficit
"Austin Energy",2026,2,"Allowances/other pay",$0.00,$10.00,$-10.00,Deficit
"Austin Energy",2026,2,"Awards and Recognition",$2275.00,$0.00,$2275.00,Profit
"Austin Energy",2026,2,"Bilingual Pay",$1800.00,$69.00,$1731.00,Profit
"Austin Energy",2026,2,Books-library,$1300.00,$80.00,$1220.00,Profit
"Austin Energy",2026,2,"Clothing/clothing material",$2900.00,$0.00,$2900.00,Profit
"Austin Energy",2026,2,Consultant-financial,$50000.00,$0.00,$50000.00,Profit
"Austin Energy",2026,2,Consultant-others,$633470.00,$82092.00,$551378.00,Profit
"Austin Energy",2026,2,"Consulting-information technology",$143600.00,$0.00,$143600.00,Profit
"Austin Energy",2026,2,"Contribution to employees ret",$101392.00,$26231.00,$75161.00,Profit
"Austin Energy",2026,2,"Electric services",$25000.00,$15496.00,$9504.00,Profit
"Austin Energy",2026,2,"Emergency leave",$0.00,$1865.00,$-1865.00,Deficit
"Austin Energy",2026,2,"Employee recruiting",$0.00,$1957.00,$-1957.00,Deficit
"Austin Energy",2026,2,"FICA tax",$63685.00,$18016.00,$45669.00,Profit
"Austin Energy",2026,2,Food/Ice,$2300.00,$226.00,$2074.00,Profit
"Austin Energy",2026,2,"Fuses and fusing apparatus",$0.00,$380.00,$-380.00,Deficit
"Austin Energy",2026,2,"Holiday pay",$0.00,$187564.00,$-187564.00,Deficit
"Austin Energy",2026,2,"Holidays worked",$0.00,$1119.00,$-1119.00,Deficit
"Austin Energy",2026,2,"Indirect costs-FMC 74-4",$30933.00,$0.00,$30933.00,Profit
"Austin Energy",2026,2,Insurance-health/life/dental,$114772.00,$30900.00,$83872.00,Profit
"Austin Energy",2026,2,"Insurance-temporary employees",$0.00,$895.00,$-895.00,Deficit
"Austin Energy",2026,2,"Interdepartmental reimbursements",$0.00,$-1838.00,$1838.00,Profit
"Austin Energy",2026,2,"Jury leave",$0.00,$1764.00,$-1764.00,Deficit
"Austin Energy",2026,2,Maintenance-buildings,$1238.00,$0.00,$1238.00,Profit
"Austin Energy",2026,2,"Maintenance-computer hardware",$240000.00,$0.00,$240000.00,Profit
