"Company Name",FY,Quarter,"By Each Company Unit Role","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"Admin For District Energy",$25739.00,$242973.00,$-217234.00,Deficit
"Austin Energy",2026,2,"Administration - Decker",$133841.00,$59413.00,$74428.00,Profit
"Austin Energy",2026,2,"Administration - Generation",$114723.00,$6435.00,$108288.00,Profit
"Austin Energy",2026,2,"Advanced Grid Technologies",$12092104.00,$3828154.00,$8263950.00,Profit
"Austin Energy",2026,2,"AE Laboratory Services",$-52718.00,$9156.00,$-61874.00,Deficit
"Austin Energy",2026,2,"Craft & Field Training",$412000.00,$72509.00,$339491.00,Profit
"Austin Energy",2026,2,"Current Diversion",$0.00,$10940.00,$-10940.00,Deficit
"Austin Energy",2026,2,"Decker Maintenance",$1035000.00,$320862.00,$714138.00,Profit
"Austin Energy",2026,2,"Disaster Restoration",$2000.00,$110394.00,$-108394.00,Deficit
"Austin Energy",2026,2,"Dist Design North",$0.00,$14996.00,$-14996.00,Deficit
"Austin Energy",2026,2,"Dist Design Small Scale & Streetlight",$0.00,$1422.00,$-1422.00,Deficit
"Austin Energy",2026,2,"Dist Design South",$0.00,$10.00,$-10.00,Deficit
"Austin Energy",2026,2,"Distribution Construction & Maintenance-North",$365861.00,$267506.00,$98355.00,Profit
"Austin Energy",2026,2,"Distribution Reliability",$0.00,$15748.00,$-15748.00,Deficit
"Austin Energy",2026,2,"Electrical Maintenance",$0.00,$380.00,$-380.00,Deficit
"Austin Energy",2026,2,"Energy Market Analysis",$2426964.00,$661024.00,$1765940.00,Profit
"Austin Energy",2026,2,"Energy Market Systems",$637714.00,$300400.00,$337314.00,Profit
"Austin Energy",2026,2,"Energy Products",$1535.00,$5195.00,$-3660.00,Deficit
"Austin Energy",2026,2,"Energy Supply & Risk Management",$-74595.00,$26575.00,$-101170.00,Deficit
"Austin Energy",2026,2,"Environmental Field Service",$24130.00,$46153.00,$-22023.00,Deficit
"Austin Energy",2026,2,"Environmental Management",$-55679.00,$65445.00,$-121124.00,Deficit
"Austin Energy",2026,2,"Environmental Projects",$249400.00,$104157.00,$145243.00,Profit
"Austin Energy",2026,2,"Facility Management",$600000.00,$35992.00,$564008.00,Profit
"Austin Energy",2026,2,"Generation Engineering",$184192.00,$142998.00,$41194.00,Profit
"Austin Energy",2026,2,"Generation Management Systems",$404309.00,$42404.00,$361905.00,Profit
"Austin Energy",2026,2,"Generation Plant Support",$0.00,$0.00,$0.00,Deficit
"Austin Energy",2026,2,"Green Building-Evaluation & Development",$320000.00,$79760.00,$240240.00,Profit
"Austin Energy",2026,2,Illumination,$2741133.00,$1893167.00,$847966.00,Profit
"Austin Energy",2026,2,"IT Apps, Data & Web",$0.00,$3175.00,$-3175.00,Deficit
"Austin Energy",2026,2,"IT Business & Quality Management",$0.00,$11473.00,$-11473.00,Deficit
"Austin Energy",2026,2,"Jobbing & Contracts Projects",$0.00,$33388.00,$-33388.00,Deficit
"Austin Energy",2026,2,"Network Construction & Maint.",$500000.00,$434979.00,$65021.00,Profit
"Austin Energy",2026,2,"Occupational Health and Safety Services",$600.00,$4633.00,$-4033.00,Deficit
"Austin Energy",2026,2,"Planning & Project Development",$0.00,$22365.00,$-22365.00,Deficit
"Austin Energy",2026,2,"Reliability Compliance Program",$-5579.00,$62397.00,$-67976.00,Deficit
"Austin Energy",2026,2,"Sand Hill - Administration",$-11519.00,$41887.00,$-53406.00,Deficit
"Austin Energy",2026,2,"Sand Hill - Engineering and Environmental",$387958.00,$159437.00,$228521.00,Profit
"Austin Energy",2026,2,"Sand Hill - Maintenance",$6414325.00,$3821923.00,$2592402.00,Profit
"Austin Energy",2026,2,"Sand Hill - Operations",$154162.00,$92510.00,$61652.00,Profit
"Austin Energy",2026,2,"Sand Hill - Warehouse",$886.00,$7902.00,$-7016.00,Deficit
"Austin Energy",2026,2,"Smart Grid Operations",$58000.00,$20956.00,$37044.00,Profit
"Austin Energy",2026,2,"Strategic Planning and Technology",$361350.00,$167865.00,$193485.00,Profit
"Austin Energy",2026,2,"System Restoration and Trouble",$136200.00,$106669.00,$29531.00,Profit
"Austin Energy",2026,2,"Wildfire Division",$1549117.00,$640359.00,$908758.00,Profit
